Field,Soil Moisture (%),Temperature (°C),Humidity (%),Light Intensity (lux),pH Level,Nutrient Level (N),Nutrient Level (P),Nutrient Level (K),Growth Rate,Leaf Color,Disease Resistance,Yield Prediction,Soil Moisture,Nutrient Levels,Temperature,Pesticide Levels,Application Accuracy,Toxicity Levels,Residuals,Field Variability,Resource Efficiency,Cost Reduction,Yield Improvement,Weather Prediction,Market Trends,Yield Forecasting,Risk Management,Reservoir Levels,Irrigation Scheduling,Flood Prediction,Water Quality
Field_D,37.12,21.75,31.66,76794,76%,19.89,7.48,17.59,85%,70%,67%,81%,62%,66%,98%,67%,90%,61%,87%,65%,74%,71%,60%,84%,76%,85%,93%,66%,61%,81%,93%
Field_A,14.53,30.52,43.62,27272,87%,15.29,10.59,34.2,99%,64%,79%,65%,73%,63%,77%,92%,94%,68%,93%,62%,97%,74%,97%,85%,78%,99%,69%,91%,70%,85%,85%
Field_E,39.12,23.88,49.42,28631,78%,48.09,15.88,21.87,90%,67%,83%,91%,75%,60%,89%,89%,86%,78%,79%,78%,62%,80%,62%,61%,64%,78%,64%,93%,68%,61%,85%
Field_C,17.0,26.31,66.9,15435,64%,32.35,23.83,32.24,87%,91%,96%,85%,64%,78%,78%,87%,74%,100%,62%,98%,100%,67%,77%,96%,63%,74%,82%,94%,81%,76%,100%
Field_E,25.16,31.75,37.38,39145,62%,22.17,7.75,22.17,84%,91%,76%,94%,74%,97%,98%,80%,83%,88%,88%,78%,98%,80%,79%,90%,74%,78%,89%,80%,78%,79%,100%
Field_E,39.73,25.76,63.84,84410,82%,18.13,12.63,12.08,90%,65%,83%,83%,64%,69%,78%,80%,96%,71%,97%,99%,70%,74%,89%,86%,87%,86%,91%,66%,75%,84%,90%
Field_D,31.08,23.86,48.33,72474,68%,23.09,24.96,26.83,93%,86%,96%,71%,64%,93%,70%,95%,74%,78%,79%,60%,93%,65%,81%,93%,93%,94%,93%,96%,65%,77%,86%
Field_B,30.4,23.96,42.44,25748,80%,47.61,7.28,18.44,60%,87%,68%,74%,73%,87%,80%,64%,77%,93%,63%,78%,76%,86%,64%,68%,66%,98%,99%,81%,86%,77%,98%
Field_C,22.47,31.69,40.51,10538,95%,33.0,8.45,18.9,61%,77%,83%,78%,88%,82%,95%,62%,61%,92%,77%,78%,68%,70%,89%,63%,84%,87%,85%,82%,86%,72%,95%
Field_C,22.39,31.02,32.43,12372,72%,15.22,8.05,10.24,78%,63%,93%,94%,83%,76%,63%,61%,97%,75%,97%,85%,96%,61%,64%,81%,80%,62%,72%,68%,99%,90%,80%
Field_B,25.1,30.01,67.91,41524,60%,20.71,22.55,11.84,98%,70%,88%,81%,88%,72%,93%,66%,97%,91%,91%,67%,70%,62%,99%,76%,93%,73%,82%,64%,96%,89%,86%
Field_E,25.89,26.6,39.05,46296,100%,15.72,7.23,21.22,64%,77%,85%,91%,91%,63%,88%,88%,79%,61%,78%,64%,84%,97%,62%,91%,60%,63%,66%,65%,63%,81%,76%
Field_C,12.07,31.37,37.92,66161,78%,45.53,10.23,12.23,88%,91%,62%,77%,71%,97%,82%,99%,86%,73%,62%,91%,99%,75%,70%,76%,86%,61%,78%,73%,85%,99%,61%
Field_B,35.73,21.22,32.04,63316,87%,33.26,11.42,20.32,97%,96%,61%,91%,99%,94%,87%,82%,82%,89%,84%,64%,62%,65%,91%,78%,82%,67%,65%,71%,99%,84%,98%
Field_B,15.74,33.07,60.74,76079,93%,12.74,13.76,12.21,92%,94%,86%,83%,76%,68%,80%,67%,95%,100%,78%,84%,70%,87%,63%,68%,95%,100%,76%,90%,92%,79%,63%
Field_C,30.76,28.85,41.61,19226,61%,44.2,7.66,11.14,100%,70%,64%,61%,84%,96%,85%,69%,87%,72%,60%,65%,99%,70%,75%,97%,62%,73%,78%,95%,72%,64%,88%
Field_B,19.81,21.21,50.27,58353,67%,27.3,5.97,16.52,78%,69%,71%,71%,82%,92%,84%,82%,61%,82%,77%,75%,82%,84%,84%,79%,66%,62%,85%,74%,79%,60%,71%
Field_D,10.25,30.57,58.41,21784,71%,44.83,12.08,34.9,99%,66%,84%,77%,95%,74%,82%,88%,84%,99%,67%,91%,85%,81%,84%,77%,78%,84%,75%,95%,77%,68%,66%
Field_C,32.34,25.08,55.86,25270,97%,35.64,24.59,36.17,93%,98%,69%,67%,98%,84%,65%,94%,70%,74%,87%,94%,67%,80%,96%,97%,81%,73%,74%,99%,72%,93%,68%
Field_A,34.45,29.24,62.58,72240,78%,30.97,15.54,23.1,91%,75%,100%,86%,69%,93%,77%,72%,69%,88%,61%,94%,77%,71%,99%,91%,68%,96%,74%,75%,92%,69%,86%
Field_C,36.72,28.38,44.19,42067,97%,46.51,19.15,13.42,97%,86%,67%,74%,76%,98%,79%,99%,67%,67%,64%,93%,94%,95%,92%,72%,99%,87%,69%,81%,60%,70%,66%
Field_C,25.42,32.51,46.31,24128,69%,48.37,24.66,10.1,77%,100%,69%,92%,67%,63%,79%,94%,97%,74%,60%,65%,75%,75%,73%,68%,75%,89%,89%,83%,94%,66%,72%
Field_B,17.28,22.77,30.14,85805,75%,25.31,15.98,23.53,69%,69%,92%,86%,84%,73%,75%,93%,71%,60%,61%,82%,83%,69%,63%,77%,96%,85%,87%,99%,61%,93%,71%
Field_A,10.5,31.43,59.77,45464,73%,19.46,17.58,25.22,81%,98%,85%,83%,99%,65%,66%,68%,71%,91%,99%,94%,61%,80%,100%,73%,85%,81%,94%,79%,74%,72%,90%
Field_B,24.62,24.08,59.72,35547,81%,17.97,16.14,28.09,77%,64%,69%,71%,94%,83%,71%,65%,79%,62%,94%,96%,94%,73%,82%,68%,83%,61%,69%,87%,66%,63%,81%
Field_B,13.23,28.31,44.85,60784,97%,43.35,21.87,17.31,73%,74%,68%,99%,64%,85%,83%,97%,92%,62%,84%,76%,72%,91%,80%,66%,74%,88%,100%,93%,67%,61%,83%
Field_E,24.35,25.99,47.47,45317,93%,43.58,7.94,18.99,69%,97%,65%,80%,70%,70%,66%,72%,71%,82%,83%,64%,82%,83%,93%,84%,65%,76%,78%,82%,89%,81%,84%
Field_D,10.01,24.49,61.9,74730,97%,15.22,15.8,30.66,84%,100%,68%,73%,88%,85%,77%,64%,81%,88%,87%,67%,98%,99%,95%,100%,63%,87%,60%,76%,100%,70%,88%
Field_B,17.3,33.87,41.5,62180,100%,38.41,22.56,20.75,67%,61%,78%,81%,95%,100%,84%,66%,99%,88%,73%,61%,71%,65%,74%,91%,73%,80%,84%,68%,76%,62%,93%
Field_C,25.62,29.88,39.16,31371,98%,46.28,5.72,19.8,77%,90%,85%,85%,100%,71%,86%,100%,98%,79%,65%,75%,88%,88%,99%,91%,84%,67%,68%,81%,74%,89%,93%
Field_D,12.23,26.6,31.21,19872,83%,28.68,20.82,29.15,91%,66%,90%,97%,88%,68%,75%,64%,64%,60%,71%,66%,98%,100%,95%,81%,96%,72%,74%,95%,90%,70%,62%
Field_C,21.94,27.37,69.28,53201,90%,19.81,24.71,23.4,80%,75%,99%,88%,81%,77%,73%,98%,74%,74%,69%,86%,88%,79%,88%,80%,63%,92%,97%,100%,67%,82%,88%
Field_C,31.21,29.6,52.29,30015,70%,18.88,6.74,30.69,71%,63%,89%,97%,71%,87%,97%,63%,69%,69%,70%,88%,72%,86%,67%,95%,88%,72%,76%,78%,99%,100%,61%
Field_E,29.65,29.2,39.44,40326,91%,26.78,6.85,32.34,88%,76%,80%,74%,60%,99%,92%,61%,99%,99%,70%,77%,69%,75%,62%,69%,97%,92%,67%,89%,93%,87%,82%
Field_C,30.98,26.2,69.36,84972,95%,44.37,14.86,35.63,83%,82%,91%,85%,64%,97%,70%,83%,74%,74%,99%,78%,74%,82%,78%,67%,96%,86%,79%,63%,66%,92%,98%
Field_E,30.43,23.42,31.13,79033,79%,42.01,18.98,37.67,73%,70%,94%,61%,74%,97%,91%,87%,94%,66%,98%,64%,84%,64%,98%,70%,60%,63%,85%,60%,79%,91%,83%
Field_C,23.6,28.43,40.16,50079,85%,31.63,15.66,13.27,84%,77%,65%,91%,96%,77%,79%,75%,92%,81%,89%,86%,70%,86%,96%,89%,89%,71%,72%,63%,89%,80%,75%
Field_E,12.14,26.72,53.8,38184,95%,39.03,7.1,25.09,79%,94%,78%,62%,62%,90%,100%,72%,87%,86%,81%,63%,61%,81%,83%,79%,65%,64%,84%,73%,100%,99%,73%
Field_D,13.84,20.99,41.06,50126,68%,25.48,12.57,37.88,88%,73%,65%,97%,87%,81%,90%,79%,67%,89%,66%,65%,100%,95%,85%,76%,64%,84%,83%,97%,72%,90%,69%
Field_C,22.88,22.77,47.53,31781,96%,36.28,18.65,26.83,92%,74%,91%,63%,65%,82%,90%,60%,85%,68%,64%,100%,82%,74%,73%,94%,93%,61%,83%,68%,76%,97%,70%
Field_B,27.45,25.7,38.68,10585,88%,21.05,24.26,35.71,94%,79%,81%,68%,84%,84%,89%,66%,71%,89%,93%,72%,64%,94%,87%,69%,60%,95%,90%,81%,83%,71%,70%
Field_C,24.02,28.51,38.0,71763,78%,18.69,24.26,30.88,64%,93%,78%,60%,70%,74%,81%,89%,92%,96%,89%,96%,60%,86%,85%,72%,80%,75%,90%,85%,88%,77%,71%
Field_D,20.88,25.08,69.43,68885,99%,41.03,17.88,29.26,95%,77%,87%,94%,76%,62%,98%,89%,62%,70%,91%,68%,91%,91%,72%,93%,63%,67%,61%,91%,80%,63%,61%
Field_B,28.3,21.41,63.2,76595,95%,20.48,18.43,36.41,91%,79%,98%,63%,89%,86%,88%,97%,65%,96%,88%,69%,64%,81%,76%,88%,84%,65%,85%,92%,79%,93%,82%
Field_E,32.72,24.81,38.06,40204,93%,44.36,22.67,13.59,81%,71%,64%,83%,87%,76%,97%,92%,80%,60%,67%,69%,76%,66%,77%,70%,70%,63%,86%,86%,84%,84%,93%
Field_B,30.05,34.86,68.38,40996,69%,27.05,9.19,23.23,60%,90%,60%,60%,96%,73%,60%,88%,93%,75%,93%,73%,91%,98%,77%,90%,81%,89%,92%,70%,81%,78%,93%
Field_D,31.64,33.12,69.52,22538,89%,28.9,24.82,17.81,93%,93%,72%,71%,98%,66%,60%,65%,77%,60%,79%,93%,75%,99%,95%,99%,84%,64%,99%,66%,69%,97%,84%
Field_E,39.51,32.56,32.07,35863,85%,26.38,15.71,22.86,66%,83%,98%,82%,71%,70%,94%,82%,74%,70%,63%,88%,75%,68%,60%,95%,78%,76%,89%,73%,67%,69%,87%
Field_B,23.98,22.84,31.77,11948,82%,38.21,16.28,35.56,62%,89%,68%,80%,72%,81%,77%,95%,64%,96%,78%,61%,98%,65%,91%,64%,70%,91%,100%,92%,73%,86%,99%
Field_B,27.83,28.7,61.15,64109,98%,14.91,15.34,34.14,92%,93%,85%,87%,88%,91%,74%,91%,86%,73%,62%,60%,88%,85%,95%,88%,60%,94%,68%,62%,97%,75%,93%
Field_E,36.14,20.03,31.56,69687,96%,45.46,14.28,32.4,62%,99%,75%,96%,65%,66%,94%,96%,82%,67%,71%,97%,88%,92%,79%,78%,77%,99%,74%,74%,65%,83%,69%
Field_C,36.69,23.6,39.07,33449,63%,22.14,18.53,12.48,68%,91%,91%,82%,77%,87%,90%,62%,63%,85%,98%,72%,63%,85%,88%,78%,69%,68%,65%,64%,67%,92%,72%
Field_A,17.3,32.21,30.46,55706,63%,19.47,8.41,29.48,94%,87%,69%,84%,99%,76%,66%,95%,80%,86%,95%,87%,98%,66%,64%,73%,99%,67%,91%,73%,85%,79%,84%
Field_D,32.67,23.58,59.51,67756,64%,15.84,17.4,21.49,66%,71%,99%,84%,69%,69%,70%,91%,89%,100%,66%,80%,80%,89%,65%,87%,88%,83%,84%,80%,64%,66%,91%
Field_B,15.28,25.45,66.37,43217,85%,16.67,17.23,24.16,66%,60%,94%,63%,92%,93%,94%,91%,63%,97%,65%,75%,94%,67%,98%,61%,99%,79%,98%,64%,84%,96%,88%
Field_A,17.87,27.38,33.56,85557,81%,12.47,22.64,26.42,62%,64%,70%,78%,86%,75%,62%,89%,63%,81%,75%,91%,79%,69%,95%,98%,100%,92%,81%,61%,80%,69%,84%
Field_C,30.82,34.12,37.15,21152,83%,15.01,11.14,18.59,66%,74%,64%,99%,71%,64%,64%,73%,67%,85%,87%,75%,65%,94%,83%,65%,99%,60%,100%,86%,73%,95%,70%
Field_A,32.13,33.14,58.09,56785,97%,23.51,13.35,19.61,92%,64%,96%,74%,88%,100%,71%,100%,93%,68%,66%,69%,81%,92%,63%,97%,71%,82%,91%,68%,68%,73%,70%
Field_B,38.94,23.37,66.15,43454,60%,25.77,18.64,37.03,72%,66%,90%,92%,96%,60%,68%,89%,61%,66%,72%,70%,80%,80%,97%,85%,90%,68%,85%,99%,73%,95%,98%
Field_E,10.73,25.51,33.24,91622,85%,30.13,21.71,25.67,66%,79%,60%,82%,60%,98%,98%,66%,66%,98%,88%,90%,91%,66%,70%,65%,63%,94%,100%,71%,63%,89%,63%
Field_B,39.96,34.04,58.72,70389,90%,22.27,6.98,24.66,97%,92%,65%,90%,84%,85%,96%,68%,96%,92%,73%,86%,68%,74%,71%,92%,81%,71%,99%,69%,83%,81%,71%
Field_A,22.43,21.7,41.17,51708,96%,30.54,6.67,16.42,90%,93%,60%,86%,84%,98%,68%,62%,60%,88%,90%,100%,84%,93%,78%,86%,90%,71%,98%,73%,65%,91%,80%
Field_E,31.96,21.08,56.94,30875,68%,15.97,15.11,22.61,70%,67%,87%,67%,84%,94%,75%,91%,87%,67%,83%,96%,86%,88%,96%,72%,77%,81%,82%,82%,85%,91%,96%
Field_E,37.19,25.75,30.72,13874,67%,37.77,18.06,14.28,70%,81%,99%,100%,81%,83%,92%,70%,85%,80%,99%,70%,81%,66%,93%,71%,91%,83%,86%,64%,80%,83%,99%
Field_A,20.56,27.93,64.68,20553,78%,33.1,16.06,12.98,99%,100%,76%,68%,85%,65%,77%,72%,74%,78%,73%,76%,78%,75%,94%,60%,64%,85%,87%,83%,84%,96%,83%
Field_D,37.54,31.44,54.91,93253,100%,14.08,12.94,21.75,60%,69%,67%,65%,87%,94%,91%,72%,91%,66%,99%,87%,87%,89%,91%,100%,75%,94%,85%,72%,88%,93%,66%
Field_C,19.64,30.34,35.73,86425,95%,34.08,10.83,18.08,82%,65%,94%,80%,73%,91%,98%,72%,69%,67%,67%,69%,72%,65%,69%,79%,91%,84%,100%,88%,77%,97%,100%
Field_C,32.55,21.61,49.51,38241,75%,42.94,15.77,38.33,91%,73%,64%,93%,97%,89%,60%,95%,91%,77%,67%,97%,79%,65%,75%,72%,79%,65%,80%,93%,82%,68%,93%
Field_E,27.34,24.05,55.15,13417,85%,15.74,22.82,13.09,93%,77%,74%,66%,80%,71%,77%,61%,76%,60%,61%,62%,88%,93%,73%,90%,65%,76%,94%,85%,76%,94%,88%
Field_E,19.61,31.85,55.43,38054,88%,15.7,23.86,22.35,76%,73%,75%,96%,64%,89%,61%,77%,91%,90%,61%,96%,95%,73%,70%,99%,93%,62%,65%,65%,95%,73%,86%
Field_D,35.82,34.55,46.87,53328,69%,25.53,8.32,24.95,79%,99%,73%,76%,60%,91%,72%,87%,62%,78%,92%,88%,97%,74%,67%,97%,73%,87%,100%,81%,76%,60%,78%
Field_E,36.1,21.2,53.58,46017,72%,11.47,20.01,35.28,82%,87%,87%,84%,72%,78%,81%,80%,83%,65%,99%,86%,78%,87%,61%,80%,77%,86%,70%,94%,80%,70%,78%
Field_E,28.55,32.21,46.73,71218,71%,22.99,5.37,12.72,79%,94%,90%,74%,74%,61%,66%,81%,81%,96%,85%,88%,80%,74%,89%,93%,86%,74%,70%,72%,87%,98%,75%
Field_D,11.08,27.16,54.96,28928,68%,12.1,21.96,39.23,91%,62%,81%,66%,82%,74%,73%,80%,87%,84%,74%,67%,83%,68%,94%,71%,68%,68%,87%,61%,68%,65%,98%
Field_E,39.69,24.41,60.33,91942,91%,49.23,24.26,18.04,65%,79%,88%,61%,90%,91%,97%,68%,89%,95%,74%,100%,80%,82%,60%,65%,85%,85%,93%,67%,82%,88%,62%
Field_A,31.83,28.44,51.02,75959,95%,49.75,24.23,37.64,62%,76%,76%,84%,93%,89%,73%,61%,94%,99%,90%,86%,68%,81%,99%,61%,72%,86%,79%,95%,64%,73%,84%
Field_D,23.84,21.54,46.48,48372,80%,28.71,5.28,13.23,92%,99%,80%,91%,64%,83%,83%,62%,97%,68%,99%,67%,98%,62%,93%,76%,65%,98%,64%,70%,69%,86%,63%
Field_E,19.65,28.79,46.88,83882,67%,37.1,22.37,20.1,78%,84%,74%,93%,90%,100%,94%,92%,82%,84%,84%,60%,97%,63%,67%,73%,97%,89%,98%,88%,72%,79%,64%
Field_C,18.25,30.05,46.49,79711,65%,39.18,22.46,23.18,89%,79%,91%,95%,91%,77%,95%,75%,99%,95%,93%,96%,76%,68%,88%,64%,72%,71%,62%,66%,66%,88%,64%
Field_D,16.79,26.13,64.71,53684,88%,46.44,19.44,34.74,78%,72%,72%,98%,84%,84%,86%,90%,72%,78%,60%,63%,71%,61%,80%,84%,96%,98%,89%,79%,97%,97%,76%
Field_E,22.16,30.87,59.91,89582,77%,18.72,21.69,37.23,63%,67%,74%,84%,94%,77%,94%,82%,94%,63%,95%,92%,77%,94%,60%,76%,65%,64%,81%,84%,63%,60%,74%
Field_A,21.57,26.65,41.45,95936,94%,21.45,6.15,15.11,63%,99%,72%,83%,86%,63%,90%,98%,83%,91%,78%,99%,71%,72%,93%,64%,94%,94%,85%,79%,94%,84%,98%
Field_C,18.49,28.78,62.42,67283,99%,12.63,11.45,14.24,90%,86%,100%,64%,74%,90%,70%,86%,80%,65%,78%,94%,90%,69%,88%,99%,95%,67%,68%,91%,94%,88%,70%
Field_C,28.84,31.05,56.39,72343,90%,32.76,11.77,10.48,98%,61%,87%,91%,80%,69%,66%,64%,72%,63%,91%,65%,82%,84%,64%,83%,62%,80%,90%,95%,82%,96%,98%
Field_C,30.75,22.82,45.51,16851,83%,37.09,18.65,21.91,95%,71%,70%,73%,99%,95%,95%,89%,94%,92%,86%,64%,90%,84%,85%,80%,68%,87%,66%,90%,89%,63%,66%
Field_E,21.08,23.86,41.52,35171,88%,44.33,14.82,13.39,99%,64%,89%,85%,71%,70%,89%,79%,77%,75%,70%,94%,76%,73%,73%,92%,69%,68%,78%,76%,95%,65%,66%
Field_A,18.14,32.84,35.58,34919,90%,12.35,20.01,17.29,75%,68%,81%,73%,83%,69%,69%,90%,80%,76%,78%,90%,100%,80%,93%,66%,89%,92%,75%,69%,86%,77%,96%
Field_E,19.47,29.62,32.88,14252,78%,20.7,24.36,29.75,95%,71%,63%,89%,60%,83%,88%,67%,94%,76%,94%,83%,90%,71%,73%,96%,98%,91%,81%,84%,66%,95%,92%
Field_E,36.93,34.26,39.4,41181,89%,12.51,16.95,23.07,62%,83%,72%,61%,60%,60%,77%,72%,94%,70%,91%,97%,86%,60%,63%,79%,82%,99%,88%,99%,96%,64%,90%
Field_A,14.02,28.43,49.81,29349,74%,17.35,19.3,22.48,63%,66%,62%,67%,88%,62%,68%,61%,97%,83%,100%,89%,96%,88%,83%,80%,67%,66%,79%,67%,61%,62%,93%
Field_D,23.78,29.44,36.61,53933,62%,46.59,22.33,14.38,75%,79%,80%,88%,96%,82%,83%,65%,86%,81%,60%,87%,90%,90%,93%,88%,69%,97%,63%,84%,63%,98%,69%
Field_C,32.48,20.26,41.36,27795,94%,40.52,19.31,31.02,83%,70%,74%,73%,68%,94%,78%,81%,78%,76%,98%,92%,67%,87%,73%,83%,85%,62%,90%,62%,94%,95%,100%
Field_E,38.9,23.13,33.54,43123,61%,42.25,12.65,26.78,86%,98%,72%,66%,95%,67%,89%,96%,61%,67%,92%,65%,93%,85%,83%,94%,93%,80%,93%,77%,72%,97%,94%
Field_A,26.76,30.15,63.43,12667,79%,21.74,16.04,31.96,85%,61%,69%,79%,69%,77%,69%,83%,93%,92%,75%,70%,95%,91%,92%,87%,76%,68%,92%,83%,83%,95%,90%
Field_D,12.64,24.33,54.14,21064,87%,25.68,5.31,24.04,93%,85%,96%,76%,93%,79%,77%,71%,63%,81%,95%,91%,73%,91%,66%,67%,68%,93%,61%,72%,91%,90%,73%
Field_C,25.88,34.77,36.55,77435,100%,20.89,13.49,29.37,83%,87%,70%,92%,86%,80%,81%,66%,97%,99%,79%,73%,91%,79%,61%,75%,69%,73%,61%,65%,84%,86%,66%
Field_D,19.89,24.54,40.48,98119,92%,14.83,22.88,28.92,93%,88%,68%,84%,94%,87%,65%,67%,85%,73%,79%,68%,98%,80%,68%,76%,76%,69%,68%,99%,97%,96%,97%
Field_D,23.46,29.23,35.05,82723,62%,24.5,13.31,24.33,64%,75%,94%,76%,91%,74%,76%,93%,61%,92%,98%,71%,94%,72%,88%,98%,100%,83%,63%,62%,92%,72%,83%
Field_C,37.25,31.69,44.13,56908,75%,18.44,24.57,19.62,83%,98%,83%,98%,86%,88%,96%,69%,94%,61%,91%,75%,66%,80%,67%,80%,99%,67%,86%,87%,98%,91%,84%
Field_B,11.64,29.36,64.46,52606,97%,44.88,22.75,31.9,91%,91%,73%,60%,82%,84%,75%,66%,66%,69%,84%,63%,99%,85%,80%,78%,100%,98%,73%,91%,83%,67%,62%
Field_E,18.34,23.34,51.17,95940,83%,12.74,18.26,22.33,85%,98%,61%,87%,71%,93%,94%,68%,73%,68%,86%,96%,91%,77%,89%,93%,78%,91%,91%,61%,92%,82%,100%
Field_A,25.56,27.42,41.83,84943,65%,17.28,7.57,10.97,98%,81%,80%,62%,65%,89%,64%,99%,89%,97%,88%,87%,79%,87%,82%,68%,70%,75%,97%,92%,73%,86%,69%
Field_A,30.48,33.37,32.71,48978,62%,33.72,23.69,21.5,98%,99%,64%,66%,96%,64%,98%,66%,99%,92%,89%,96%,97%,83%,97%,97%,84%,75%,84%,94%,100%,89%,87%
Field_E,18.93,20.8,68.03,19205,67%,47.36,12.39,12.44,60%,68%,82%,93%,74%,99%,88%,75%,96%,98%,82%,83%,74%,76%,96%,76%,74%,79%,89%,66%,75%,72%,95%
Field_D,17.48,27.88,65.5,70797,98%,36.73,14.3,22.57,80%,79%,94%,90%,72%,100%,96%,78%,70%,77%,84%,63%,60%,60%,90%,86%,79%,69%,83%,80%,74%,84%,87%
Field_D,26.08,31.1,51.51,57762,70%,35.51,9.41,22.9,72%,94%,94%,80%,97%,74%,62%,84%,63%,64%,70%,65%,65%,69%,64%,61%,81%,86%,80%,92%,89%,77%,93%
Field_E,27.66,23.31,33.85,71297,80%,43.59,23.57,38.04,92%,93%,96%,77%,84%,69%,60%,90%,63%,77%,88%,89%,80%,62%,74%,99%,79%,77%,61%,98%,76%,75%,89%
Field_D,21.02,28.95,51.26,66537,92%,12.81,17.6,22.88,65%,71%,87%,77%,87%,69%,99%,77%,99%,100%,76%,86%,70%,66%,66%,74%,89%,81%,85%,83%,75%,70%,97%
Field_A,38.0,29.12,48.37,96017,73%,37.77,18.99,33.85,91%,83%,66%,82%,70%,61%,97%,78%,84%,60%,68%,65%,87%,61%,69%,71%,66%,94%,85%,66%,72%,61%,72%
Field_C,23.4,28.44,51.29,36496,99%,28.69,21.81,35.11,90%,88%,84%,94%,64%,70%,60%,73%,85%,72%,69%,92%,64%,90%,85%,86%,81%,90%,88%,75%,62%,85%,84%
Field_D,19.31,31.65,54.82,72048,82%,20.55,18.7,22.01,79%,84%,74%,67%,83%,74%,70%,74%,91%,76%,68%,62%,75%,92%,69%,82%,87%,70%,91%,94%,85%,89%,65%
Field_E,39.71,31.04,43.85,18764,97%,41.4,8.64,37.44,99%,97%,95%,84%,74%,92%,87%,60%,98%,98%,75%,95%,76%,90%,74%,85%,88%,70%,71%,77%,92%,100%,63%
Field_D,11.46,23.89,66.58,29215,86%,23.26,9.5,10.41,85%,74%,98%,82%,61%,93%,69%,65%,60%,88%,89%,64%,96%,76%,67%,87%,82%,64%,88%,70%,91%,87%,61%
Field_E,18.42,25.9,60.41,40125,83%,36.71,12.02,11.04,68%,95%,94%,98%,86%,98%,75%,70%,95%,74%,72%,68%,82%,75%,70%,73%,63%,75%,92%,100%,69%,66%,88%
Field_D,10.5,24.61,49.76,87221,90%,49.46,21.59,24.5,61%,73%,98%,93%,66%,62%,77%,98%,74%,74%,62%,76%,66%,86%,88%,100%,83%,71%,88%,96%,83%,65%,79%
Field_D,31.91,21.44,47.74,58861,72%,37.95,14.75,15.88,62%,80%,70%,68%,78%,78%,65%,71%,77%,89%,74%,97%,99%,76%,77%,65%,92%,93%,86%,90%,94%,87%,93%
Field_C,14.75,24.41,40.03,31056,88%,31.42,11.57,23.21,87%,70%,74%,97%,90%,70%,60%,74%,63%,78%,80%,100%,72%,72%,94%,100%,73%,90%,82%,76%,60%,97%,61%
Field_C,29.29,31.46,65.2,89779,95%,38.17,24.03,15.51,75%,66%,68%,81%,76%,91%,94%,70%,96%,82%,76%,67%,83%,70%,77%,71%,95%,72%,63%,67%,99%,87%,75%
Field_E,14.26,32.36,38.24,54630,98%,46.38,22.19,34.62,93%,74%,83%,64%,96%,88%,90%,76%,85%,79%,60%,82%,66%,95%,84%,71%,94%,78%,65%,73%,89%,70%,91%
Field_A,26.27,23.69,59.99,36172,90%,41.81,14.9,33.94,89%,67%,77%,67%,66%,72%,94%,78%,83%,95%,76%,75%,89%,81%,65%,76%,62%,71%,72%,87%,72%,100%,99%
Field_D,35.96,27.46,64.29,44357,62%,45.33,16.27,24.84,82%,76%,86%,87%,75%,86%,94%,90%,69%,78%,63%,70%,93%,64%,93%,71%,99%,75%,70%,87%,71%,60%,67%
Field_A,16.06,33.85,53.85,24419,62%,34.04,12.57,25.49,93%,72%,91%,72%,77%,62%,92%,61%,71%,78%,85%,79%,62%,98%,82%,73%,89%,67%,82%,63%,91%,66%,80%
Field_E,36.87,30.38,61.11,60939,81%,34.56,7.24,17.2,96%,70%,80%,89%,61%,81%,82%,89%,66%,89%,65%,97%,88%,96%,69%,97%,82%,94%,81%,98%,86%,67%,69%
Field_D,39.76,26.49,59.06,49639,98%,33.6,22.19,20.06,100%,71%,99%,76%,81%,69%,94%,69%,84%,78%,66%,81%,94%,98%,85%,98%,72%,98%,84%,82%,94%,80%,64%
Field_A,27.74,34.11,56.12,10906,89%,16.41,11.7,12.21,83%,94%,88%,82%,68%,62%,81%,84%,97%,84%,72%,74%,77%,77%,90%,72%,65%,60%,67%,92%,61%,71%,64%
Field_C,18.83,30.74,47.91,84209,72%,36.72,12.73,11.32,85%,95%,65%,79%,87%,97%,64%,70%,92%,75%,82%,78%,96%,100%,71%,61%,67%,98%,61%,74%,91%,68%,82%
Field_B,21.46,26.67,67.93,95410,76%,47.2,14.76,31.68,84%,97%,85%,95%,87%,87%,74%,100%,82%,85%,88%,65%,69%,94%,91%,94%,76%,95%,82%,95%,60%,88%,97%
Field_E,31.19,23.05,31.19,79299,93%,39.32,22.0,35.47,80%,76%,61%,70%,74%,83%,91%,64%,87%,86%,87%,100%,99%,90%,83%,63%,67%,75%,82%,81%,70%,69%,79%
Field_A,17.27,24.41,68.18,99452,67%,19.52,22.75,16.6,89%,83%,60%,67%,88%,98%,90%,85%,76%,62%,83%,68%,96%,87%,99%,99%,79%,66%,72%,73%,93%,75%,85%
Field_A,27.85,33.29,63.72,48440,96%,16.72,7.87,19.74,82%,90%,90%,68%,89%,68%,74%,98%,70%,68%,85%,79%,78%,100%,61%,78%,85%,68%,99%,100%,87%,98%,79%
Field_C,36.11,34.33,51.57,92079,65%,36.06,7.53,14.26,89%,74%,69%,94%,95%,96%,77%,100%,93%,64%,93%,95%,65%,68%,74%,71%,73%,78%,75%,88%,99%,68%,60%
Field_B,40.0,34.72,43.6,94534,70%,20.25,7.52,32.92,76%,80%,70%,75%,72%,89%,100%,100%,92%,74%,91%,70%,81%,66%,82%,94%,86%,69%,98%,66%,94%,99%,91%
